,index,star_end_address,Monday_avg,Tuesday_avg,Wednesday_avg,Thursday_avg,Friday_avg,Saturday_avg,Sunday_avg,Monday_q1,Tuesday_q1,Wednesday_q1,Thursday_q1,Friday_q1,Saturday_q1,Sunday_q1,Monday_q3,Tuesday_q3,Wednesday_q3,Thursday_q3,Friday_q3,Saturday_q3,Sunday_q3
47,47,Infiniti Mall   Adarsh Nagar  ,62.81390601,65.64076352,64.18032998,65.44746261,65.92048857,57.65048643,51.59003861,43.95833333,43.7,43.83333333,43.85,44.16666667,44.03333333,44.49166667,73.05833334,76.4,76.2,77.4875,77.9,68.50833334,57.48333334
48,48,Ismail College Campus   Lokhandwala Road Andheri West  ,23.35605128,23.38412821,23.40336687,23.63137255,23.43127782,23.01742308,21.28643501,17.93333333,17.97916667,17.8125,18.00416667,18.01666667,17.9,17.75833334,27.1,27.21666667,27.23333333,27.64583333,27.15,26.775,23.93333333
49,49,J A Meghani Memorial School   Behram Baug  ,3.72201185,3.809424756,3.771800826,3.753184119,3.866981875,3.615437788,3.398069498,2.816666667,2.8,2.8,2.816666667,2.816666667,2.8,2.766666667,4.029166667,4.183333333,4.133333333,4.066666667,4.133333333,3.895833333,3.633333333
50,50,J P Road Junction   Cafe Arfa  ,8.066807692,8.448622909,8.000726329,8.07146283,8.105751634,8.398974359,7.338584299,5.4,5.583333333,5.45,5.566666667,5.616666667,5.55,5.333333333,10.05416667,10.61666667,10.01666667,9.616666667,9.625,10.28333333,8.608333334
51,51,Jacob Circle    Central  ,9.43963964,9.66448718,9.479328165,9.794063745,9.643001047,9.084616372,8.315868109,7.416666667,7.5,7.316666667,7.366666667,7.35,7.125,6.933333333,11.26666667,11.58333333,11.5,12.01666667,11.56666667,10.88333333,9.725
52,52,Jacob Circle   Arthur Road Jail  ,7.39385762,8.245227098,7.519504925,7.551038339,7.286917844,7.100526046,6.744075219,3,3.05,3.033333333,2.979166667,2.95,2.783333333,2.683333333,10.36666667,11.275,10.2125,10.475,10.1125,10.19166667,9.229166667
53,53,Jogeshwari End   Andheri Flyover  ,24.18302564,25.56453189,24.44817137,25.88983707,26.2913208,22.81861389,18.83584687,15.1,16.1875,16.21666667,16.97916667,17.1,15.51666667,13.6,32.19166667,34.09166667,31.4375,33.90833333,34.76666667,27.78333333,23.33333333
54,54,Jogeshwari Flyover   Mahanand Dairy  ,32.18271653,33.28069636,33.0190902,34.81557508,34.83189655,31.14292852,25.88085134,21.85,22.35416667,22.11666667,22.88333333,22.74583333,22.96666667,19.44166667,41.16666667,42.39166667,43.10833334,45.0375,45.125,39.3,32.19166667
55,55,Kalbadevi   Mangaldas Market  ,10.90968573,10.55225989,10.26335661,10.78626826,10.4041373,10.78477144,8.246718346,7.254166667,7.370833334,7.216666667,7.4,7.333333333,7.2,6.95,15.0125,14.19166667,13.78333333,14.6,13.8,14.5875,9.5
56,56,Kalki Fashion   Santacruz-Khar Subway  ,6.172085259,6.056315655,6.333927649,6.43756,6.097946102,6.019078779,5.714953632,3.733333333,3.683333333,3.7375,3.733333333,3.75,3.625,3.7,7.379166667,7.333333333,7.233333333,7.516666667,7.45,7.5,6.345833333
57,57,Kalwa Naka Thane  Belapur Road Thane ,25.20397683,24.44618056,24.84350348,25.45053163,24.99866457,22.65125835,19.80536221,16.68333333,17.2125,17.25,17.35,17.51666667,17.16666667,16.4,29.88333334,27.25,28.76666667,30.09583333,27.38333333,25.45416667,20.78333333
58,58,Kapadia Nagar Kurla   Bandra-Kurla Complex (BKC)  ,7.382255581,7.500538462,7.45933797,7.376336792,7.326996596,6.315745008,6.122337963,5.316666667,5.233333333,5.316666667,5.25,5.266666667,5.266666667,5.35,7.95,8.116666667,8.016666667,8.183333333,8,7.15,6.75
59,59,Kapurbavdi Thane  Tatvagyan Vidyapeeth junction Thane ,2.935934114,2.9375,2.901990408,2.915828252,2.955624426,2.977732794,2.896877934,2.65,2.65,2.65,2.645833333,2.654166667,2.666666667,2.633333333,3.216666667,3.183333333,3.133333333,3.233333333,3.195833333,3.25,3.166666667
60,60,Kurla Bus Depot Junction    Phoenix Market City Mall  ,8.960076923,9.583423146,9.709262126,9.87553614,9.684640523,9.051548899,8.076311728,5.5,5.508333334,5.7,5.658333334,5.666666667,5.533333333,5.5,11.1875,11.64166666,12.66666667,12.60833334,12.23333333,11.6625,9.983333333
61,61,Lilavati Hospital   Bandra Reclaimation  ,3.088302517,3.109626216,3.108268834,3.128070877,3.125058916,3.104961538,3.028657908,2.816666667,2.816666667,2.8,2.8,2.816666667,2.8,2.833333333,3.266666667,3.3,3.3,3.316666667,3.333333333,3.266666667,3.15
