,index,star_end_address,Monday_avg,Tuesday_avg,Wednesday_avg,Thursday_avg,Friday_avg,Saturday_avg,Sunday_avg,Monday_q1,Tuesday_q1,Wednesday_q1,Thursday_q1,Friday_q1,Saturday_q1,Sunday_q1,Monday_q3,Tuesday_q3,Wednesday_q3,Thursday_q3,Friday_q3,Saturday_q3,Sunday_q3
83,83,Santacruz-Khar Subway   Kalki Fashion  ,8.557812902,8.636059908,8.737267081,9.003227513,8.68751634,8.835588009,7.955534106,5.983333333,6.066666667,6.083333333,6.066666667,6.075,5.916666667,5.95,9.783333333,9.833333333,9.6375,10.15,10.1,10.78333333,8.55
84,84,Shangrila Biscuit Factory Rajiv Gandhi Nagar   Dreams The Mall Bhandup West   400078,6.165882202,6.152017476,6.200593855,5.933547696,6.092860872,6.573988735,5.147749486,4.1,4.133333333,4.166666667,4.166666667,4.15,4.15,4.15,7.383333333,7.233333333,7.408333334,6.95,7.3,7.9625,5.833333333
85,85,Shivaji Chowk Vashi Navi   Hotel Blue Diamond Navi  ,6.000321502,6.039794872,5.995914145,6.071529443,6.006860435,6.22211094,5.988953338,4.516666667,4.629166667,4.5,4.558333334,4.583333333,4.533333333,4.55,7.133333333,7.15,7.133333333,7.275,7.066666667,7.583333333,6.95
86,86,Shoppers Stop Linking Road Bandra   Turner Road  ,6.124383667,6.266628235,6.304930124,6.375039872,6.456896552,7.093761209,6.131184041,4.65,4.75,4.716666667,4.670833334,4.733333333,4.566666667,4.616666667,7.1625,7.316666667,7.420833334,7.5625,7.633333333,9,7.216666667
87,87,Sion Circle   Chunabhatti  ,6.513871795,6.648567409,6.648841699,6.647753854,6.565390625,6.647838322,6.123161008,5.433333333,5.325,5.466666667,5.35,5.4,5.333333333,5.316666667,7.333333333,7.516666667,7.491666667,7.616666667,7.433333333,7.65,6.754166667
88,88,Talaopali Thane  Court Naka Thane ,6.97970679,7.022555812,6.939633359,6.881922258,6.900209479,6.999307159,6.482081074,5.816666667,5.833333333,5.85,5.866666667,5.8,5.858333334,5.866666667,7.95,8.033333333,7.916666667,7.9,7.95,8.033333333,7.066666667
89,89,Tatvagyan Vidyapeeth junction Thane  Kapurbavdi Thane ,2.714667536,2.748420556,2.737760039,2.71744012,2.737700046,2.765099909,2.679876013,2.366666667,2.475,2.483333333,2.466666667,2.5,2.416666667,2.4,2.966666667,2.95,2.95,2.970833334,2.95,3.066666667,2.933333333
90,90,Teen Haath Naka Thane  Mulund toll Naka Eastern Express Highway Thane ,11.0537908,11.219,10.92381507,11.29904306,11.69532967,10.48359034,9.24520495,7.783333333,7.983333333,7.825,7.716666667,8,8.1,7.566666667,12.35,12.85,12.50833334,12.8125,13.72083333,12.3,10.73333333
91,91,Thane Jail Thane  Thane Kalwa bridge Thane ,1.393865741,1.378692308,1.399702381,1.448325359,1.408000522,1.283821263,1.055052849,0.9,0.916666667,0.916666667,0.916666667,0.933333333,0.916666667,0.883333333,1.666666667,1.616666667,1.666666667,1.733333333,1.683333333,1.416666667,1.033333333
92,92,Thane Kalwa bridge Thane  Thane Jail Thane ,5.50932509,5.521401078,5.656990921,5.760933333,5.687185535,4.810695942,3.822342621,3.183333333,3.25,3.25,3.233333333,3.283333333,3.2375,3.083333333,7.033333333,6.875,7.25,7.616666667,7.308333333,5.016666667,3.7
93,93,TISS   Chembur Naka V N Purav Marg  ,3.535910256,3.60015361,3.779153767,3.988804781,4.159281046,3.799667434,3.443299897,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,5.933333333,5.9125,5.966666667,5.983333333,5.983333333,6.016666667,5.7875
94,94,Turner Road   Shoppers Stop Linking Road Bandra  ,5.270406065,5.43249484,5.493969979,5.552992817,5.672575996,5.868950475,4.968416988,3.1,3.216666667,3.116666667,3.1,3.3125,3.025,3.291666667,6.75,7.116666667,7.45,7.433333333,7.520833334,8.066666667,6.141666667
95,95,Uthalsar Thane  Civil Hospital Thane ,4.834783735,4.836066205,4.837784679,4.904883227,4.857305577,4.864827675,4.614413364,4.3,4.316666667,4.25,4.4125,4.333333333,4.35,4.25,5.266666667,5.308333334,5.3,5.35,5.3,5.3375,5
96,96,Vashi Bridge Navi   Vashi Toll Naka Navi  ,10.77409979,10.73942776,10.86193607,11.41174363,11.44287392,11.29354632,10.71281258,9.616666667,9.783333333,9.683333333,9.85,9.933333333,9.891666667,9.616666667,12.11666667,11.88333333,11.91666667,12.11666667,12.26666667,12.58333333,11.76666667
97,97,Vashi Gaon Signal Navi   Vashi Toll Naka Navi  ,22.15719609,22.0883449,21.98313602,22.3049101,22.48875437,22.97401923,21.74236917,19.11666667,19.23333333,19.05833334,19.25,19.23333333,19.45833334,19.08333333,24.75,24.85,24.6,24.61666667,24.93333334,25.91666667,23.63333333
98,98,Vashi Toll Naka Navi   Vashi Gaon Signal Navi  ,9.246965021,8.996273452,9.035511811,9.053352649,9.164657497,9.556921676,9.074458204,7.616666667,7.55,7.466666667,7.6,7.583333333,7.533333333,7.4625,10.28333333,10.36666667,10.17916667,10.25,10.43333333,11.08333333,9.9875
99,99,Vashi Toll Naka Navi   Vashi Bridge Navi  ,12.49354424,11.96565307,12.00320662,12.04096225,12.62016785,13.13650488,12.18132251,9.566666667,9.508333334,9.416666667,9.466666667,9.666666667,9.820833334,9.566666667,13.76666667,13.075,13.01666667,13.22916667,14.03333333,14.925,13.25
100,100,Veer Savarkar flyover   Grand Sarovar Premiere  ,5.708127889,5.648385857,5.863261094,5.551838529,5.84589562,6.241615385,5.198095238,3.633333333,3.633333333,3.583333333,3.65,3.65,3.6625,3.625,6.15,6.033333333,6.570833334,6.15,6.641666667,7.604166667,5.6
101,101,VS Agashe Marg Junction    High School  ,30.71762689,33.27392241,31.59742754,32.36946839,31.47084241,29.37275186,27.46906229,21.85833333,21.45,22.9875,21.51666667,22.70833334,21.66666667,22.05833333,36.42916667,39.65416667,38.025,39.0875,36.61666667,35.61666667,31.58333333
